match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,local__accurate_through_passes,local__ball_possession,local__big_chances,local__blocked_shots,local__clearances,local__corner_kicks,local__crosses,local__duels_won,local__errors_leading_to_goal,local__errors_leading_to_shot,local__expected_assists_xa,local__expected_goals_xg,local__fouls,local__free_kicks,local__goalkeeper_saves,local__goals_prevented,local__hit_the_woodwork,local__interceptions,local__long_passes,local__offsides,local__passes,local__passes_in_final_third,local__shots_inside_the_box,local__shots_off_target,local__shots_on_target,local__shots_outside_the_box,local__tackles,local__throw_ins,local__total_shots,local__touches_in_opposition_box,local__xg_on_target_xgot,local__xgot_faced,local__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards,visitante__accurate_through_passes,visitante__ball_possession,visitante__big_chances,visitante__blocked_shots,visitante__clearances,visitante__corner_kicks,visitante__crosses,visitante__duels_won,visitante__errors_leading_to_goal,visitante__errors_leading_to_shot,visitante__expected_assists_xa,visitante__expected_goals_xg,visitante__fouls,visitante__free_kicks,visitante__goalkeeper_saves,visitante__goals_prevented,visitante__hit_the_woodwork,visitante__interceptions,visitante__long_passes,visitante__offsides,visitante__passes,visitante__passes_in_final_third,visitante__shots_inside_the_box,visitante__shots_off_target,visitante__shots_on_target,visitante__shots_outside_the_box,visitante__tackles,visitante__throw_ins,visitante__total_shots,visitante__touches_in_opposition_box,visitante__xg_on_target_xgot,visitante__xgot_faced,visitante__yellow_cards
APZfvJVr,curazao,07.06.2026 00:00,Football / World / Friendly International,Curacao,Aruba,4,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GvuTpll2,curazao,30.05.2026 12:00,Football / World / Friendly International,Scotland,Curacao,4,1,,1,62%,1,0,6,1,13%(2/15),27,0,0,0.85,0.41,8,8,0,-0.21,0,2,74%(14/19),0,89%(274/308),76%(78/102),0,4,3,2,1,71%(5/7),10,5,14,0.95,0.79,0,1,72%,2,2,6,7,33%(7/21),18,0,1,1.50,1.58,9,3,2,0.35,,0,6,92%(11/12),0,93%(261/282),91%(97/107),,10,2,9,3,88%(7/8),11,13,25,3.23,0.35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38%,1,0,17,0,33%(1/3),20,0,0,0.21,0.24,8,8,1,-0.05,0,4,45%(18/40),0,82%(154/188),72%(26/36),1,1,1,1,1,33%(2/6),9,2,5,0.79,0.95,1,0,28%,0,2,5,2,50%(3/6),21,0,1,0.32,0.47,3,9,6,0.23,,0,2,33%(9/27),0,72%(81/112),47%(9/19),,3,3,2,4,67%(2/3),4,7,6,0.35,3.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xYZOaL8b,curazao,31.03.2026 09:10,Football / World / FIFA Series - Group Stage,Australia,Curacao,5,1,,0,46%,1,1,12,1,33%(1/3),20,0,0,0.18,0.58,7,6,2,0.51,1,2,42%(10/24),0,84%(204/244),61%(27/44),,4,2,2,1,57%(4/7),6,5,7,0.52,0.51,,1,47%,3,0,7,0,33%(1/3),15,0,0,0.69,0.97,11,1,1,-0.47,1,0,9,57%(12/21),0,85%(158/186),80%(32/40),,4,2,4,2,83%(5/6),4,6,8,1.69,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54%,1,0,5,2,0%(0/7),15,1,0,0.11,0.18,6,7,1,-0.48,0,4,50%(19/38),2,87%(246/282),76%(32/42),,2,0,2,0,100%(5/5),11,2,6,0.51,0.52,,0,53%,2,2,3,0,17%(1/6),26,0,1,0.15,0.49,1,11,0,-2.31,0,0,5,72%(23/32),1,86%(185/214),75%(33/44),,4,1,2,1,50%(4/8),7,5,6,0.53,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6DRudw8N,curazao,27.03.2026 06:00,Football / World / FIFA Series - Group Stage,China,Curacao,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36%,1,4,18,3,28%(5/18),41,0,1,0.93,0.67,16,12,1,0.07,0,10,53%(26/49),1,82%(250/305),65%(67/103),5,4,3,6,45%(9/20),11,11,20,1.54,0.07,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64%,1,3,19,4,13%(1/8),44,0,0,0.43,0.34,12,16,1,-0.46,0,7,67%(26/39),1,88%(511/579),76%(106/139),6,4,1,2,78%(7/9),20,8,16,0.07,1.54,2
WrPF5sAt,curazao,19.11.2025 01:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 6,Jamaica,Curacao,0,0,,0,56%,1,2,8,2,0%(0/3),26,0,2,0.03,0.31,10,8,2,0.21,0,3,19%(7/37),1,71%(141/200),27%(14/52),,2,1,1,2,33%(1/3),16,4,7,0.25,0.21,,0,64%,3,1,14,1,25%(3/12),34,0,1,0.52,0.73,7,11,2,0.16,,3,5,31%(9/29),0,75%(119/158),55%(26/47),1,6,8,0,3,63%(5/8),12,9,16,0.00,0.16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44%,0,3,23,0,20%(1/5),26,0,0,0.17,0.40,8,10,1,0.25,0,5,47%(17/36),1,74%(113/153),61%(27/44),,4,2,2,3,67%(4/6),8,7,9,0.21,0.25,,0,36%,0,2,23,3,0%(0/3),34,0,0,0.21,0.44,11,7,0,0.00,,0,4,31%(11/35),1,58%(56/96),51%(23/45),0,6,4,3,3,54%(7/13),14,9,14,0.16,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Tl6ovPO,curazao,14.11.2025 00:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 5,Bermuda,Curacao,0,7,,0,33%,0,1,9,2,0%(0/5),17,0,0,0.04,0.08,9,5,5,-0.76,0,3,32%(7/22),0,67%(82/122),47%(16/34),,0,2,1,4,17%(1/6),12,4,3,0.03,1.24,1,0,29%,0,0,7,1,60%(3/5),16,0,0,0.28,0.06,11,3,3,-1.59,,0,3,38%(10/26),0,75%(80/106),48%(14/29),,1,1,0,0,67%(6/9),5,1,5,0.00,3.41,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67%,1,2,6,4,20%(1/5),20,0,0,0.23,1.41,5,9,1,0.03,0,9,62%(13/21),1,87%(218/252),65%(50/77),,7,4,7,6,86%(6/7),14,13,14,1.24,0.03,1,0,71%,3,3,2,3,44%(4/9),27,0,0,0.79,2.27,3,11,0,0.00,,1,3,73%(16/22),3,91%(239/264),82%(62/76),,6,3,8,8,71%(5/7),10,14,18,3.41,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YmckkMPa,curazao,14.10.2025 23:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 4,Curacao,Trinidad & Tobago,1,1,,0,50%,0,1,9,0,50%(2/4),25,0,0,0.08,0.31,7,3,2,0.80,1,5,43%(16/37),1,71%(112/157),33%(7/21),,3,2,1,1,71%(10/14),15,4,3,0.85,0.80,1,0,46%,1,2,12,4,33%(2/6),25,1,0,0.76,0.52,8,8,3,-0.71,,0,7,39%(13/33),1,65%(85/131),53%(26/49),,5,3,0,0,78%(7/9),7,5,10,0.00,0.29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50%,3,3,11,3,17%(1/6),25,1,0,0.30,1.51,3,7,0,-0.15,1,10,63%(17/27),1,79%(123/156),64%(36/56),,5,3,2,3,57%(4/7),13,8,8,0.80,0.85,1,0,54%,1,2,16,4,17%(1/6),23,0,0,0.22,0.35,8,8,0,0.00,,0,6,41%(13/32),0,69%(110/159),53%(21/40),,4,2,4,4,78%(7/9),12,8,9,0.29,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t0LOY0uJ,curazao,10.10.2025 23:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 3,Curacao,Jamaica,2,0,,0,52%,0,1,15,0,0%(0/1),13,0,0,0.20,0.25,4,3,2,0.30,0,2,46%(17/37),1,83%(174/209),68%(47/69),,3,2,2,2,38%(3/8),14,5,6,0.15,0.30,,0,31%,0,0,19,0,25%(1/4),27,0,0,0.10,0.17,6,4,4,0.53,,0,3,27%(12/45),0,61%(68/112),56%(15/27),,1,0,2,1,69%(11/16),12,2,3,0.36,0.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48%,1,0,6,1,13%(1/8),25,0,0,0.44,0.26,3,4,1,-0.85,0,4,31%(9/29),1,75%(139/186),63%(43/68),,5,2,3,0,60%(6/10),14,5,14,0.30,0.15,,0,69%,4,1,1,3,27%(3/11),23,0,0,0.50,1.04,4,6,1,-0.64,,0,4,31%(8/26),1,83%(203/246),74%(64/87),,7,8,4,6,82%(9/11),12,13,18,0.53,0.36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YZHGzNA6,curazao,10.09.2025 00:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 2,Curacao,Bermuda,3,2,,0,64%,5,5,6,3,11%(1/9),20,0,0,0.96,2.27,4,6,0,-0.58,0,4,64%(18/28),1,84%(220/263),70%(75/107),,12,1,8,2,50%(3/6),18,14,35,2.33,1.42,,0,66%,2,2,7,7,33%(6/18),30,0,0,0.99,0.58,7,10,1,0.17,,0,4,64%(16/25),1,86%(194/225),81%(76/94),,5,4,2,3,55%(6/11),12,8,18,0.49,0.17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36%,2,0,21,1,40%(2/5),24,0,0,0.63,0.93,6,4,5,0.33,0,7,22%(4/18),1,74%(104/141),50%(11/22),,2,1,2,1,50%(6/12),7,3,5,1.42,2.33,,0,34%,0,1,23,2,14%(1/7),23,0,0,0.04,0.15,10,7,0,-0.51,,0,2,32%(10/31),0,68%(79/116),45%(13/29),,2,1,1,1,58%(7/12),13,3,2,0.17,0.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fQav5Bs,curazao,06.09.2025 00:00,Football / North & Central America / World Championship - Qualification - Third stage - Round 1,Trinidad & Tobago,Curacao,0,0,,0,41%,0,0,7,0,17%(1/6),29,0,0,0.09,0.03,6,7,2,0.58,0,3,38%(11/29),1,72%(106/147),52%(16/31),,1,0,1,0,50%(5/10),5,1,3,0.04,0.58,2,0,58%,0,2,11,4,23%(3/13),23,0,0,0.26,0.52,6,3,0,0.00,,0,7,29%(7/24),2,73%(115/158),59%(39/66),,8,5,5,4,83%(10/12),11,12,24,0.22,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59%,0,1,10,2,25%(1/4),23,0,0,0.12,0.15,7,6,1,0.04,0,3,48%(19/40),0,78%(168/216),55%(31/56),,2,1,2,2,43%(3/7),14,4,5,0.58,0.04,1,0,42%,1,0,21,1,0%(0/3),24,0,0,0.11,0.04,3,6,4,0.22,,0,7,50%(17/34),0,67%(80/119),57%(24/42),,1,1,0,0,100%(6/6),16,1,4,0.00,0.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
