match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
dOR51pNF,estados_unidos,local,50/62 (81%),Schlotterbeck N.Centre back,12,-,8.6,1/1 (100%),-,-,78
dOR51pNF,estados_unidos,local,19/24 (79%),Havertz K.Striker,11,0.52,8.4,1/3 (33%),1,5,35
dOR51pNF,estados_unidos,local,17/21 (81%),Sane L.Winger,10,0.19,7.7,3/4 (75%),4,4,43
dOR51pNF,estados_unidos,local,31/37 (84%),Kimmich J.Fullback,7,-,7.5,-,-,-,58
dOR51pNF,estados_unidos,local,26/35 (74%),Robinson A.Fullback,7,0.04,7.5,1/3 (33%),1,2,54
dOR51pNF,estados_unidos,local,25/30 (83%),Tillman M.Midfielder,7,-,7.1,1/2 (50%),-,-,46
dOR51pNF,estados_unidos,local,35/40 (88%),Adams T.Midfielder,13,-,6.9,-,-,-,55
dOR51pNF,estados_unidos,local,47/52 (90%),Pavlovic A.Midfielder,12,0.09,6.9,-,2,1,68
dOR51pNF,estados_unidos,local,16/20 (80%),Brown N.Fullback,9,-,6.8,0/1 (0%),-,1,43
dOR51pNF,estados_unidos,local,19/23 (83%),McKennie W.Attacking midfielder,8,0.10,6.8,-,1,1,40
dOR51pNF,estados_unidos,local,6/11 (55%),Raum D.Defender,4,-,6.7,-,-,2,23
dOR51pNF,estados_unidos,local,7/9 (78%),Balogun F.Striker,7,0.29,6.6,1/2 (50%),3,4,21
dOR51pNF,estados_unidos,local,16/28 (57%),Baumann O.Goalkeeper,-,-,6.6,-,-,-,34
dOR51pNF,estados_unidos,local,7/10 (70%),Leweling J.Forward,1,-,6.6,1/1 (100%),-,2,13
dOR51pNF,estados_unidos,local,36/39 (92%),Tah J.Centre back,4,-,6.6,-,-,-,46
dOR51pNF,estados_unidos,local,8/8 (100%),Aaronson B.Midfielder,2,0.03,6.5,0/1 (0%),1,-,16
dOR51pNF,estados_unidos,local,9/11 (82%),Anton W.Defender,2,-,6.5,-,-,-,17
dOR51pNF,estados_unidos,local,18/20 (90%),Arfsten M.Forward,-,-,6.5,-,-,1,26
dOR51pNF,estados_unidos,local,19/22 (86%),Reyna G.Midfielder,5,0.09,6.5,0/3 (0%),2,5,31
dOR51pNF,estados_unidos,local,11/12 (92%),Roldan C.Midfielder,2,-,6.5,-,-,1,13
dOR51pNF,estados_unidos,local,5/9 (56%),Undav D.Forward,1,0.35,6.5,-,1,1,11
dOR51pNF,estados_unidos,local,38/44 (86%),Wirtz F.Winger,8,0.02,6.5,1/2 (50%),1,3,55
dOR51pNF,estados_unidos,local,23/32 (72%),Freese M.Goalkeeper,1,-,6.4,-,-,-,42
dOR51pNF,estados_unidos,local,31/34 (91%),McKenzie M.Defender,1,-,6.4,-,-,-,41
dOR51pNF,estados_unidos,local,10/16 (63%),Pulisic C.Winger,19,0.21,6.4,4/14 (29%),3,3,45
dOR51pNF,estados_unidos,local,11/14 (79%),Scally J.Defender,5,0.04,6.4,1/3 (33%),1,-,24
dOR51pNF,estados_unidos,local,18/24 (75%),Berhalter S.Midfielder,2,-,6.3,1/2 (50%),-,-,29
dOR51pNF,estados_unidos,local,30/34 (88%),Freeman A.Fullback,10,0.05,6.3,0/2 (0%),1,2,57
dOR51pNF,estados_unidos,local,24/27 (89%),Nmecha F.Midfielder,8,0.07,6.3,0/1 (0%),1,1,38
dOR51pNF,estados_unidos,local,2/3 (67%),Pepi R.Forward,1,-,6.3,-,-,-,6
dOR51pNF,estados_unidos,local,28/33 (85%),Trusty A.Defender,1,-,6.3,-,-,-,37
dOR51pNF,estados_unidos,local,7/8 (88%),Weah T.Midfielder,3,0.04,6.2,-,1,-,13
dOR51pNF,estados_unidos,local,21/24 (88%),Musiala J.Attacking midfielder,15,0.21,6.1,1/4 (25%),1,3,46
dOR51pNF,estados_unidos,local,43/45 (96%),Ream T.Centre back,5,-,6.1,-,-,-,53
dOR51pNF,estados_unidos,local,33/33 (100%),Robinson M.Centre back,2,-,6.0,-,-,-,39
dOR51pNF,estados_unidos,local,16/21 (76%),Dest S.Winger,11,0.10,5.3,1/4 (25%),2,1,33
dOR51pNF,estados_unidos,local,6/6 (100%),Amiri N.Midfielder,2,0.09,-,1/1 (100%),1,1,9
dOR51pNF,estados_unidos,local,3/5 (60%),Beier M.Forward,2,-,-,-,-,-,8
dOR51pNF,estados_unidos,local,2/2 (100%),Goretzka L.Midfielder,1,-,-,-,-,-,3
dOR51pNF,estados_unidos,local,5/6 (83%),Stiller A.Midfielder,3,-,-,-,-,-,11
88Gb5U1E,estados_unidos,local,33/36 (92%),Pulisic C.Forward,9,0.37,9.1,4/6 (67%),4,8,56
