match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
IBR01G66,croacia,09.06.2025 18:45,Football / Europe / World Championship - Qualification,Croatia,Czech Republic,5,1,1,69%,2,5,6,0,17%(2/12),14,0,0,1.30,1.09,1,4,1,0.30,1,0,6,57%(17/30),3,89%(300/338),77%(63/82),,6,1,4,3,0%(0/1),8,10,22,0.99,0.30,,1,52%,4,0,17,0,0%(0/5),28,0,0,0.97,2.54,2,7,2,0.35,0,0,7,62%(13/21),0,85%(165/195),75%(43/57),,5,1,7,3,29%(2/7),6,8,14,3.23,1.35,0,1,31%,1,6,16,1,50%(2/4),16,0,0,0.58,0.91,4,1,2,-0.01,0,0,3,44%(11/25),0,70%(107/152),51%(20/39),,7,2,2,3,40%(2/5),12,10,14,0.30,0.99,,0,48%,1,0,9,5,8%(1/12),16,0,0,0.23,0.48,7,2,2,-0.77,1,1,2,43%(9/21),1,78%(137/175),64%(45/70),,3,1,3,0,50%(3/6),12,4,13,1.35,3.23,2
pbTh3xxf,croacia,06.06.2025 18:45,Football / Europe / World Championship - Qualification,Gibraltar,Croatia,0,7,0,30%,0,0,24,1,0%(0/2),18,0,0,0.06,0.08,5,4,4,0.59,0,0,6,22%(7/32),1,64%(73/114),51%(18/35),,1,1,0,0,71%(5/7),7,1,1,0.00,2.59,,0,34%,0,1,11,0,25%(1/4),16,1,0,0.09,0.17,4,6,1,-1.10,,0,2,41%(12/29),1,72%(88/122),62%(18/29),,1,1,0,1,40%(2/5),6,2,3,0.00,3.90,0,1,70%,6,4,9,8,30%(7/23),37,0,0,1.55,2.20,4,5,0,0.00,1,0,4,69%(11/16),2,88%(220/250),77%(67/87),,14,7,7,4,55%(11/20),11,18,36,2.59,0.00,,3,66%,7,3,7,4,25%(3/12),15,0,0,2.25,3.60,6,4,0,0.00,,0,4,74%(20/27),4,90%(212/235),85%(79/93),,10,3,6,2,50%(2/4),8,12,22,3.90,0.00,1
nD4pkgRj,croacia,23.03.2025 19:45,Football / Europe / UEFA Nations League - League A - Play Offs - Quarter-finals,France,Croatia,2,0,1,68%,3,3,4,7,40%(8/20),29,0,0,1.61,1.35,7,7,0,0.00,,0,2,70%(14/20),0,90%(310/344),83%(106/127),,11,8,1,1,67%(2/3),12,12,24,0.11,0.00,1,0,62%,0,0,4,7,14%(3/21),30,0,1,0.88,0.56,3,11,0,0.00,,0,3,67%(6/9),2,90%(291/325),79%(81/103),,6,6,2,2,80%(4/5),8,8,14,0.73,0.00,0,0,32%,0,2,15,0,17%(1/6),20,0,1,0.11,0.05,7,7,1,0.11,,0,4,31%(8/26),0,78%(130/167),76%(29/38),,1,0,0,1,67%(6/9),8,2,2,0.00,0.11,3,0,38%,0,1,16,0,0%(0/1),25,0,0,0.05,0.13,11,3,0,-1.27,,0,7,30%(7/23),1,80%(163/205),65%(15/23),,1,2,0,2,86%(12/14),8,3,3,0.00,0.73,3
Kbl49NC5,croacia,20.03.2025 19:45,Football / Europe / UEFA Nations League - League A - Play Offs - Quarter-finals,Croatia,France,2,0,1,44%,2,2,7,2,25%(1/4),22,0,1,0.40,1.38,5,5,3,0.47,1,1,8,35%(9/26),2,84%(182/217),79%(34/43),,6,1,4,1,57%(4/7),8,7,14,2.28,0.47,,0,32%,0,0,15,1,20%(1/5),29,0,0,0.17,0.05,7,7,3,0.86,,0,5,31%(11/35),0,76%(116/152),59%(17/29),,1,1,0,0,71%(10/14),2,1,4,0.00,0.86,0,1,56%,0,1,10,4,25%(2/8),20,0,0,0.37,0.41,5,5,2,0.28,0,0,0,65%(11/17),0,88%(238/272),77%(48/62),,4,1,3,1,33%(2/6),4,5,7,0.47,2.28,,1,68%,1,3,5,5,28%(5/18),30,0,0,1.16,1.08,7,7,0,0.00,,0,4,84%(16/19),0,90%(291/325),88%(106/121),,9,5,3,2,42%(5/12),11,11,25,0.86,0.00,2
IVuZHJEm,croacia,18.11.2024 19:45,Football / Europe / UEFA Nations League - League A - Round 6,Croatia,Portugal,1,1,,36%,,2,,3,,,,,,0.27,4,2,3,,,,6,,1,88%(184/208),,,,1,1,,,2,4,,,,,,50%,,2,,2,,,,,,1.87,4,6,1,,,,2,,1,90%(217/240),,,,2,7,,,4,11,,,,0,,64%,,2,,4,,,,,,1.00,2,4,1,,,,2,,1,92%(345/374),,,,4,4,,,7,10,,,,,,50%,,1,,3,,,,,,0.31,6,4,6,,,,3,,0,85%(196/231),,,,0,1,,,11,2,,,,2
0EyfDeTI,croacia,15.11.2024 19:45,Football / Europe / UEFA Nations League - League A - Round 5,Scotland,Croatia,1,0,,50%,,0,,3,,,,,,0.09,4,6,4,,,,5,,2,88%(236/268),,0,,1,1,,,5,2,,,,0,,56%,,1,,3,,,,,,0.79,4,1,0,,,,4,,1,88%(235/267),,,,4,1,,,9,6,,,,,,50%,,1,,4,,,,,,0.78,6,4,1,,,,2,,1,88%(238/269),,1,,3,4,,,10,8,,,,4,,44%,,2,,3,,,,,,0.58,1,4,0,,,,6,,1,85%(169/198),,,,2,0,,,13,4,,,,
MNxjEyEC,croacia,15.10.2024 18:45,Football / Europe / UEFA Nations League - League A - Round 4,Poland,Croatia,3,3,,47%,,1,,0,,,,,,0.76,8,3,0,,,,3,,0,87%(194/222),,,,2,4,,,10,7,,,,0,,47%,,1,,2,,,,,,0.51,6,6,5,,,,6,,0,83%(162/196),,0,,4,2,,,10,7,,,,1,,53%,,2,,1,,,,,,0.64,3,8,2,,,,2,,0,89%(223/251),,,,1,3,,,9,6,,,,1,,53%,,2,,2,,,,,,0.63,6,6,1,,,,4,,1,83%(189/228),,1,,2,5,,,13,9,,,,2
QeqsGcq0,croacia,12.10.2024 16:00,Football / Europe / UEFA Nations League - League A - Round 3,Croatia,Scotland,2,1,,62%,,3,,1,,,,,,0.40,7,6,1,,,,3,,1,91%(313/345),,,,1,2,,,5,6,,,,2,,40%,,3,,2,,,,,,0.85,7,1,0,,,,13,,0,88%(185/211),,,,4,4,,,6,11,,,,0,,38%,,1,,1,,,,,,0.32,6,7,1,,,,2,,2,84%(173/205),,,,2,2,,,6,5,,,,1,,60%,,1,,1,,,,,,0.59,1,7,3,,,,1,,4,87%(280/323),,,,3,0,,,15,4,,,,1
WYqwHwUg,croacia,08.09.2024 18:45,Football / Europe / UEFA Nations League - League A - Round 2,Croatia,Poland,1,0,,54%,,2,,3,,,,,,0.40,6,5,0,,,,,,1,89%(289/324),,,,6,2,,,,10,,,,3,,64%,,2,,5,,,,,,0.44,3,8,2,,,,,,1,92%(270/294),,,,7,4,,,,13,,,,2,,46%,,1,,1,,,,,,0.01,3,6,2,,,,,,2,86%(212/246),,,,0,0,,,,1,,,,1,,36%,,3,,1,,,,,,0.64,8,5,3,,,,,,0,83%(139/167),,,,5,2,,,,10,,,,1
4nroFHb6,croacia,05.09.2024 18:45,Football / Europe / UEFA Nations League - League A - Round 1,Portugal,Croatia,2,1,,52%,,0,,1,,,,,,0.86,2,4,2,,,,,,1,95%(285/299),,,,2,4,,,,6,,,,,,46%,,6,,4,,,,,,0.34,3,4,1,,,,,,1,89%(243/273),,,,1,2,,,,9,,,,0,,48%,,1,,5,,,,,,0.21,3,4,2,,,,,,1,93%(288/310),,,,3,3,,,,7,,,,,,54%,,1,,2,,,,,,0.37,3,3,2,,,,,,1,92%(240/262),,,,4,1,,,,6,,,,1
