match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
Eo8XRPwQ,uzbekistan,local,24/27 (89%),Ashurmatov R.Centre back,4,-,5.4,-,-,-,41
Eo8XRPwQ,uzbekistan,local,11/14 (79%),Sayfiev F.Wingback,3,0.04,5.0,0/1 (0%),1,-,27
Eo8XRPwQ,uzbekistan,local,4/4 (100%),Til G.Midfielder,-,-,4.8,-,-,-,4
0S4Q383T,uzbekistan,local,14/18 (78%),Nelson J.Forward,10,0.22,8.4,4/8 (50%),1,5,41
0S4Q383T,uzbekistan,local,49/57 (86%),Khusanov A.Centre back,9,-,7.9,-,-,-,77
0S4Q383T,uzbekistan,local,7/9 (78%),Oluwaseyi T.Forward,6,0.33,7.8,0/2 (0%),4,4,21
0S4Q383T,uzbekistan,local,13/17 (76%),Osorio J.Midfielder,4,0.10,7.6,0/1 (0%),1,2,24
0S4Q383T,uzbekistan,local,19/21 (90%),Sigur N.Midfielder,6,-,7.4,-,-,-,45
0S4Q383T,uzbekistan,local,47/52 (90%),Cornelius D.Centre back,6,-,7.3,2/2 (100%),-,-,61
0S4Q383T,uzbekistan,local,24/29 (83%),David J.Striker,6,-,7.2,1/2 (50%),-,4,37
0S4Q383T,uzbekistan,local,16/19 (84%),Millar L.Winger,12,0.06,7.2,5/6 (83%),1,3,34
0S4Q383T,uzbekistan,local,5/7 (71%),Crepeau M.Goalkeeper,-,-,7.1,-,-,-,9
0S4Q383T,uzbekistan,local,29/33 (88%),Priso R.Midfielder,4,-,7.1,0/1 (0%),-,-,47
0S4Q383T,uzbekistan,local,46/58 (79%),Ashurmatov R.Centre back,8,-,6.9,1/1 (100%),-,-,82
0S4Q383T,uzbekistan,local,20/31 (65%),De Fougerolles L.Defender,6,-,6.9,-,-,1,45
0S4Q383T,uzbekistan,local,7/9 (78%),St.Clair D.Goalkeeper,-,-,6.9,-,-,-,11
0S4Q383T,uzbekistan,local,27/32 (84%),Choiniere M.Midfielder,4,-,6.8,-,-,1,44
0S4Q383T,uzbekistan,local,29/39 (74%),Eustaquio S.Midfielder,3,-,6.8,-,-,2,50
0S4Q383T,uzbekistan,local,27/34 (79%),Kone I.Midfielder,7,-,6.8,2/3 (67%),-,-,47
0S4Q383T,uzbekistan,local,30/33 (91%),Abdullaev A.Centre back,5,-,6.7,0/1 (0%),-,-,44
0S4Q383T,uzbekistan,local,11/14 (79%),Buchanan T.Winger,7,0.02,6.7,1/3 (33%),1,1,28
0S4Q383T,uzbekistan,local,19/28 (68%),Johnston A.Fullback,5,-,6.7,1/1 (100%),-,1,43
0S4Q383T,uzbekistan,local,13/18 (72%),Mozgovoy A.Midfielder,3,-,6.7,-,-,2,22
0S4Q383T,uzbekistan,local,4/4 (100%),David P.Forward,3,-,6.6,-,-,2,8
0S4Q383T,uzbekistan,local,10/11 (91%),Laryea R.Fullback,1,-,6.6,-,-,-,18
0S4Q383T,uzbekistan,local,28/30 (93%),Saliba N.Midfielder,4,0.05,6.6,1/1 (100%),1,-,39
0S4Q383T,uzbekistan,local,9/10 (90%),Jones A.Defender,-,-,6.5,-,-,-,11
0S4Q383T,uzbekistan,local,5/6 (83%),Amonov A.Forward,5,0.02,6.4,0/2 (0%),1,6,14
0S4Q383T,uzbekistan,local,14/16 (88%),Urozov J.Defender,1,0.03,6.4,-,1,1,18
0S4Q383T,uzbekistan,local,14/24 (58%),Fayzullaev A.Forward,12,0.02,6.3,0/2 (0%),1,2,47
0S4Q383T,uzbekistan,local,32/36 (89%),Nematov A.Goalkeeper,-,-,6.3,-,-,-,46
0S4Q383T,uzbekistan,local,13/19 (68%),Sayfiev F.Wingback,8,-,6.3,0/1 (0%),-,2,44
0S4Q383T,uzbekistan,local,16/18 (89%),Bombito M.Centre back,3,-,6.2,-,-,-,23
0S4Q383T,uzbekistan,local,29/43 (67%),Nasrullaev S.Wingback,8,-,6.2,1/2 (50%),-,1,64
0S4Q383T,uzbekistan,local,6/7 (86%),Ganiev A.Attacking midfielder,3,-,6.1,-,-,-,9
0S4Q383T,uzbekistan,local,3/4 (75%),Larin C.Striker,5,0.05,6.1,1/1 (100%),1,-,10
0S4Q383T,uzbekistan,local,10/15 (67%),Urunov O.Attacking midfielder,8,-,6.0,1/4 (25%),-,1,31
0S4Q383T,uzbekistan,local,18/26 (69%),Shomurodov E.Striker,9,0.81,5.6,0/2 (0%),2,-,42
0S4Q383T,uzbekistan,local,47/55 (85%),Khamrobekov O.Midfielder,11,-,5.4,-,-,-,64
0S4Q383T,uzbekistan,local,20/28 (71%),Shukurov O.Midfielder,11,-,4.9,0/2 (0%),-,-,46
0S4Q383T,uzbekistan,local,1/2 (50%),Esanov S.Midfielder,1,-,-,-,-,-,4
0S4Q383T,uzbekistan,local,-,Sergeev I.Forward,-,0.10,-,-,1,-,1
