match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
fqGrfvc5,netherlands,local,19/19 (100%),Aouar H.Midfielder,2,-,6.6,-,-,-,23
fqGrfvc5,netherlands,local,15/19 (79%),Hato J.Defender,3,-,6.6,-,-,-,30
fqGrfvc5,netherlands,local,18/21 (86%),Kluivert J.Forward,7,0.14,6.6,1/2 (50%),2,1,31
fqGrfvc5,netherlands,local,28/35 (80%),Wieffer M.Fullback,8,-,6.6,0/1 (0%),-,1,57
fqGrfvc5,netherlands,local,2/3 (67%),Benbouali N.Forward,3,0.04,6.5,-,1,-,8
fqGrfvc5,netherlands,local,17/20 (85%),van de Ven M.Fullback,3,-,6.5,0/2 (0%),-,1,40
fqGrfvc5,netherlands,local,9/10 (90%),Verbruggen B.Goalkeeper,-,-,6.5,-,-,-,12
fqGrfvc5,netherlands,local,9/13 (69%),Abada A.Fullback,4,-,6.4,-,-,-,23
fqGrfvc5,netherlands,local,55/63 (87%),Belaid Z.Centre back,4,-,6.4,-,-,1,73
fqGrfvc5,netherlands,local,16/23 (70%),Gravenberch R.Midfielder,2,0.02,6.4,0/1 (0%),1,-,28
fqGrfvc5,netherlands,local,19/23 (83%),Depay M.Forward,5,0.09,6.3,0/1 (0%),2,1,32
fqGrfvc5,netherlands,local,10/11 (91%),Koopmeiners T.Midfielder,1,-,6.3,-,-,-,17
fqGrfvc5,netherlands,local,11/14 (79%),Timber Q.Midfielder,2,0.05,6.3,-,1,-,18
fqGrfvc5,netherlands,local,11/13 (85%),Geertruida L.Defender,2,-,6.2,-,-,-,19
fqGrfvc5,netherlands,local,18/19 (95%),Gouiri A.Striker,3,-,6.2,-,-,-,23
fqGrfvc5,netherlands,local,7/9 (78%),Malen D.Striker,2,0.98,6.2,-,4,7,18
fqGrfvc5,netherlands,local,24/26 (92%),Mandi A.Centre back,-,-,6.1,-,-,-,32
fqGrfvc5,netherlands,local,9/14 (64%),Roefs R.Goalkeeper,-,-,6.1,-,-,-,16
fqGrfvc5,netherlands,local,7/11 (64%),Boulbina A.Forward,3,-,5.9,0/1 (0%),-,-,14
fqGrfvc5,netherlands,local,15/17 (88%),De Roon M.Midfielder,3,-,5.7,-,-,-,18
fqGrfvc5,netherlands,local,0/2 (0%),Brobbey B.Forward,1,-,-,-,-,-,2
fqGrfvc5,netherlands,local,-,Weghorst W.Forward,2,-,-,-,-,-,-
StJedUO9,netherlands,local,23/32 (72%),Gakpo C.Winger,15,1.13,9.1,4/6 (67%),3,9,58
StJedUO9,netherlands,local,14/20 (70%),Malen D.Winger,9,0.36,8.5,6/8 (75%),2,11,39
StJedUO9,netherlands,local,71/79 (90%),van Dijk V.Centre back,5,0.13,8.5,-,2,2,93
StJedUO9,netherlands,local,70/75 (93%),de Jong F.Midfielder,8,-,8.3,1/1 (100%),-,-,82
StJedUO9,netherlands,local,48/57 (84%),Reijnders T.Midfielder,7,0.34,8.2,1/1 (100%),4,5,73
StJedUO9,netherlands,local,39/43 (91%),Simons X.Midfielder,7,0.26,8.2,2/3 (67%),1,4,60
StJedUO9,netherlands,local,70/80 (88%),de Ligt M.Centre back,8,0.06,7.7,-,2,3,92
StJedUO9,netherlands,local,29/35 (83%),Gineitis G.Midfielder,11,0.03,7.7,-,1,-,60
StJedUO9,netherlands,local,14/20 (70%),Depay M.Striker,5,0.05,6.9,-,1,3,36
StJedUO9,netherlands,local,23/26 (88%),Verbruggen B.Goalkeeper,-,-,6.9,-,-,-,31
StJedUO9,netherlands,local,15/17 (88%),Geertruida L.Defender,2,-,6.7,-,-,1,28
StJedUO9,netherlands,local,15/21 (71%),Utkus E.Centre back,5,-,6.7,-,-,-,41
StJedUO9,netherlands,local,54/60 (90%),Ake N.Fullback,5,-,6.6,1/1 (100%),-,2,82
StJedUO9,netherlands,local,4/5 (80%),Lang N.Forward,-,0.02,6.6,-,1,2,6
StJedUO9,netherlands,local,2/3 (67%),Sirgedas G.Midfielder,4,-,6.6,3/3 (100%),-,-,14
StJedUO9,netherlands,local,8/9 (89%),Timber Q.Midfielder,3,0.02,6.6,0/1 (0%),1,2,16
StJedUO9,netherlands,local,3/3 (100%),Emegha E.Forward,2,0.55,6.5,-,2,6,7
StJedUO9,netherlands,local,34/39 (87%),Timber J.Fullback,2,0.23,6.5,-,1,4,46
StJedUO9,netherlands,local,12/26 (46%),Gertmonas E.Goalkeeper,1,-,6.4,-,-,-,37
StJedUO9,netherlands,local,7/7 (100%),Valente L.Midfielder,-,-,6.4,-,-,-,9
StJedUO9,netherlands,local,5/6 (83%),Paulauskas G.Forward,3,-,6.3,0/1 (0%),-,1,8
StJedUO9,netherlands,local,9/14 (64%),Beneta M.Defender,4,0.30,6.0,0/2 (0%),1,1,27
StJedUO9,netherlands,local,5/6 (83%),Cernych F.Striker,3,-,5.8,-,-,-,11
StJedUO9,netherlands,local,10/13 (77%),Golubickas P.Midfielder,9,0.04,5.7,-,1,1,16
StJedUO9,netherlands,local,17/25 (68%),Lasickas J.Wingback,9,0.01,5.6,0/3 (0%),1,1,45
StJedUO9,netherlands,local,20/22 (91%),Armalas V.Centre back,4,-,5.5,-,-,-,35
StJedUO9,netherlands,local,2/8 (25%),Sirvys P.Wingback,7,0.16,5.5,-,1,1,17
StJedUO9,netherlands,local,11/12 (92%),Kalinauskas T.Midfielder,6,0.10,5.4,0/2 (0%),2,2,26
StJedUO9,netherlands,local,20/23 (87%),Vorobjovas M.Midfielder,7,0.01,5.3,-,1,-,32
StJedUO9,netherlands,local,26/33 (79%),Tutyskinas A.Centre back,3,-,4.1,1/1 (100%),-,-,45
